artist_name,painting_name,artist_year_of_death,artist_gender,artist_origin,painting_style,painting_content,painting_medium,painting_turnover,painting_wikiart_link,painting_rarity,painting_image_link,artist_description,artist_wiki_link,artist_image_link,nft_collectible_link,nft_image_link,nft_ipfs_token_id,
Edouard Manet,The Fifer,1883,Male,French,Realism,portrait,"oil, canvas",16246389,https://www.wikiart.org/en/edouard-manet/the-fifer-1866,4,https://i.ibb.co/wh7j0j1/image.jpg,"Édouard Manet  was a French modernist painter. He was one of the first 19th-century artists to paint modern life, as well as a pivotal figure in the transition from Realism to Impressionism.",https://en.wikipedia.org/wiki/%C3%89douard_Manet,https://i.ibb.co/LP5Qcz5/image.jpg,https://i.ibb.co/v186HFD/image.png,https://i.ibb.co/JngG07f/image.gif,1,
Ben Shahn,Portrait of Dag Hammarskjold,1969,Male,American,Expressionism,portrait,wood,29000,https://www.wikiart.org/en/ben-shahn/portrait-of-dag-hammarskjold-1962,6,https://i.ibb.co/q5yd2Dn/image.jpg,"Ben Shahn  was an American artist. He is best known for his works of social realism, his left-wing political views, and his series of lectures published as The Shape of Content.",https://en.wikipedia.org/wiki/Ben_Shahn,https://i.ibb.co/CwSYVbx/image.jpg,https://i.ibb.co/58CPS4x/image.png,https://i.ibb.co/Th694qM/image.gif,2,
James Rosenquist,Welcome to the Water Planet,2017,Male,American,Pop Art,figurative,,13866149,https://www.wikiart.org/en/james-rosenquist/welcome-to-the-water-planet-1987-1,4,https://i.ibb.co/4R6cNdL/image.jpg,"James Rosenquist  was an American artist and one of the proponents of the pop art movement. Drawing from his background working in sign painting, Rosenquist's pieces often explored the role of advertising and consumer culture in art and society, utilizing techniques he learned making commercial art to depict popular cultural icons and mundane everyday objects.",https://en.wikipedia.org/wiki/James_Rosenquist,https://i.ibb.co/n63t0VD/image.jpg,https://i.ibb.co/kBkSdp8/image.png,https://i.ibb.co/KN6cLrL/image.gif,3,
Joaquin Torres-Garcia,Abstract Art in Five Tones and Complementaries,1949,Male,Spanish,Abstract Art,abstract,"oil, board",9392548,https://www.wikiart.org/en/joaquin-torres-garcia/abstract-art-in-five-tones-and-complementaries-1943,4,https://i.ibb.co/rv5VXW1/image.jpg,"Joaquín Torres García  was a Uruguayan-Spanish artist who was born in Montevideo, Uruguay. Torres-García emigrated to Catalunya, Spain as an adolescent, where he began his career as an artist in 1891.",https://en.wikipedia.org/wiki/Joaqu%C3%ADn_Torres-Garc%C3%ADa,https://i.ibb.co/qMnDsK2/image.jpg,https://i.ibb.co/rft8PmW/image.png,https://i.ibb.co/BtGbYYX/image.gif,4,
Hilma af Klint,"Atom Series, No. 8 Atom on the ether plane is in constant change between rest and activity. At the rest it pulls itself inwards. This affects the earthly atom as giving of force.",1944,Female,Swedish,Abstract Art,abstract,"watercolor, paper",,https://www.wikiart.org/en/hilma-af-klint/atom-series-no-8-atom-on-the-ether-plane-is-in-constant-change-between-rest-and-activity-at-the-1917,4,https://i.ibb.co/HxV5BDz/image.jpg,"Hilma af Klint  was a Swedish artist and mystic whose paintings are considered among the first abstract works known in Western art history. A considerable body of her work predates the first purely abstract compositions by Kandinsky, Malevich and Mondrian.",https://en.wikipedia.org/wiki/Hilma_af_Klint,https://i.ibb.co/3vRDdtb/image.jpg,https://i.ibb.co/xgt5XdW/image.png,https://i.ibb.co/pdLFt3t/image.gif,5,
Andrea Mantegna,Madonna and Child with Seraphim and Cherubim,1506,Male,Italian,Early Renaissance,religious painting,"wood, gold, tempera",5924,https://www.wikiart.org/en/andrea-mantegna/madonna-and-child-with-seraphim-and-cherubim-1460,6,https://i.ibb.co/CmPZjng/image.jpg,"Andrea Mantegna  was an Italian painter, a student of Roman archeology, and son-in-law of Jacopo Bellini. 
Like other artists of the time, Mantegna experimented with perspective, e.",https://en.wikipedia.org/wiki/Andrea_Mantegna,https://i.ibb.co/5v6WMdj/image.jpg,https://i.ibb.co/7j88X6q/image.png,https://i.ibb.co/YhJRBhr/image.gif,6,
Martin Schongauer,Wild woman with shield,1976,Male,German,Northern Renaissance,mythological painting,,37352,https://www.wikiart.org/en/martin-schongauer/wild-woman-with-shield-1490,6,https://i.ibb.co/DCFTrCX/image.jpg,"Martin Schongauer , also known as Martin Schön  or Hübsch Martin  by his contemporaries, was an Alsatian engraver and painter. He was the most important printmaker north of the Alps before Albrecht Dürer, a younger artist who collected his work.",https://en.wikipedia.org/wiki/Martin_Schongauer,https://i.ibb.co/8xw9c1S/image.jpg,https://i.ibb.co/0s514K1/image.png,https://i.ibb.co/4mHHyHB/image.gif,7,
Marie Laurencin,Two Heads,1956,Female,Russian,Expressionism,portrait,,2365533,https://www.wikiart.org/en/marie-laurencin/two-heads-1935,5,https://i.ibb.co/nj6WmL7/image.jpg,Marie Laurencin  was a French painter and printmaker. She became an important figure in the Parisian avant-garde as a member of the Cubists associated with the Section d'Or.,https://en.wikipedia.org/wiki/Marie_Laurencin,https://i.ibb.co/wp9Gygk/image.jpg,https://i.ibb.co/KsGZmnQ/image.png,https://i.ibb.co/kJ4jZSn/image.gif,8,
Orazio Gentileschi,Young Woman Playing a Violin,1639,Male,Italian,Mannerism (Late Renaissance),genre painting,,0,https://www.wikiart.org/en/orazio-gentileschi/young-woman-playing-a-violin-1624,6,https://i.ibb.co/bHXdhSw/image.jpg,"Orazio Lomi Gentileschi  was an Italian painter. Born in Tuscany, he began his career in Rome, painting in a Mannerist style, much of his work consisting of painting the figures within the decorative schemes of other artists.",https://en.wikipedia.org/wiki/Orazio_Gentileschi,https://i.ibb.co/7yHDbPz/image.jpg,https://i.ibb.co/9r8WMV4/image.png,https://i.ibb.co/99HnntB/image.gif,9,
Rene Magritte,The treachery of images (This is not a pipe),1967,Male,Belgian,Surrealism,symbolic painting,"oil, canvas",173838476,https://www.wikiart.org/en/rene-magritte/the-treachery-of-images-this-is-not-a-pipe-1948,1,https://i.ibb.co/zR7Cb1j/image.jpg,"René François Ghislain Magritte  was a Belgian surrealist artist, who became well known for creating a number of witty and thought-provoking images. Often depicting ordinary objects in an unusual context, his work is known for challenging observers' preconditioned perceptions of reality.",https://en.wikipedia.org/wiki/Ren%C3%A9_Magritte,https://i.ibb.co/bzjxmBy/image.jpg,https://i.ibb.co/LgcwpL4/image.png,https://i.ibb.co/wJvg5ck/image.gif,10,
Victor Vasarely,Tekers-MC,1997,Male,French,Op Art,abstract,"acrylic, canvas",15194843,https://www.wikiart.org/en/victor-vasarely/tekers-mc-1981,4,https://i.ibb.co/pZ5v4Py/image.jpg,"Victor Vasarely  was a Hungarian-French artist, who is widely accepted as a ""grandfather"" and leader of the Op art movement.
His work entitled Zebra, created in 1937, is considered by some to be one of the earliest examples of Op art.",https://en.wikipedia.org/wiki/Victor_Vasarely,https://i.ibb.co/FBzp3p5/image.jpg,https://i.ibb.co/cX8cN79/image.png,https://i.ibb.co/Z21xHyZ/image.gif,11,
Childe Hassam,A long island garden,1935,Male,American,Impressionism,landscape,,210300,https://www.wikiart.org/en/childe-hassam/a-long-island-garden,6,https://i.ibb.co/tbsPV70/image.jpg,"Frederick Childe Hassam  was an American Impressionist painter, noted for his urban and coastal scenes. Along with Mary Cassatt and John Henry Twachtman, Hassam was instrumental in promulgating Impressionism to American collectors, dealers, and museums.",https://en.wikipedia.org/wiki/Childe_Hassam,https://i.ibb.co/qkt7Y67/image.jpg,https://i.ibb.co/hC7xRhV/image.png,https://i.ibb.co/0BTmsWc/image.gif,12,
Ben Nicholson,July 27-53 (ivory),1982,Male,British,Abstract Art,still life,,7472991,https://www.wikiart.org/en/ben-nicholson/july-27-53-ivory-1953,4,https://i.ibb.co/wpMmcjc/image.jpg,"Benjamin Lauder Nicholson, OM  was an English painter of abstract compositions , landscape and still-life..",https://en.wikipedia.org/wiki/Ben_Nicholson,https://i.ibb.co/PCcc8BH/image.jpg,https://i.ibb.co/QpnqQjC/image.png,https://i.ibb.co/9rt2mgf/image.gif,13,
Hans Hartung,Untitled,1989,Male,French,Tachisme,abstract,,22952675,https://www.wikiart.org/en/hans-hartung/untitled-1976,3,https://i.ibb.co/YQZ9hwK/image.jpg,"Hans Hartung  was a German-French painter, known for his gestural abstract style. He was also a decorated World War II veteran of the Legion d'honneur.",https://en.wikipedia.org/wiki/Hans_Hartung,https://i.ibb.co/FDrRgBF/image.jpg,https://i.ibb.co/dtHH87N/image.png,https://i.ibb.co/7XmFrjL/image.gif,14,
Emil Nolde,Holy Family,1956,Male,German,Expressionism,religious painting,,12716423,https://www.wikiart.org/en/emil-nolde/holy-family-1931,4,https://i.ibb.co/3yFVyDL/image.jpg,"Emil Nolde  was a German-Danish painter and printmaker. He was one of the first Expressionists, a member of Die Brücke, and was one of the first oil painting and watercolor painters of the early 20th century to explore color.",https://en.wikipedia.org/wiki/Emil_Nolde,https://i.ibb.co/47nMd74/image.jpg,https://i.ibb.co/GHL0wb5/image.png,https://i.ibb.co/MGZ9Pd8/image.gif,15,
Balthus,Nude in Profile,2001,Male,French,Expressionism,nude painting (nu),"oil, canvas",33917142,https://www.wikiart.org/en/balthus/nude-in-profile,3,https://i.ibb.co/CP4QQbg/image.jpg,"Balthasar Klossowski de Rola , known as Balthus, was a Polish-French modern artist. He is known for his erotically charged images of pubescent girls, but also for the refined, dreamlike quality of his imagery.",https://en.wikipedia.org/wiki/Balthus,https://i.ibb.co/YRBqD5Z/image.jpg,https://i.ibb.co/RhCN2mV/image.png,https://i.ibb.co/RgZdrcK/image.gif,16,
Hans Hartung,Untitled (T1982-H12),1989,Male,French,Tachisme,abstract,,22952675,https://www.wikiart.org/en/hans-hartung/untitled-t1982-h12-1982,3,https://i.ibb.co/kMRqcD4/image.jpg,"Hans Hartung  was a German-French painter, known for his gestural abstract style. He was also a decorated World War II veteran of the Legion d'honneur.",https://en.wikipedia.org/wiki/Hans_Hartung,https://i.ibb.co/FDrRgBF/image.jpg,https://i.ibb.co/MgWLYrC/image.png,https://i.ibb.co/Y7TwpSn/image.gif,17,
Andre Derain,"Charing Cross Bridge, London",1954,Male,French,Fauvism,cityscape,"oil, canvas",26296022,https://www.wikiart.org/en/andre-derain/charing-cross-bridge-1906,3,https://i.ibb.co/v3wdDXj/image.png,"André Derain  was a French artist, painter, sculptor and co-founder of Fauvism with Henri Matisse..",https://en.wikipedia.org/wiki/Andr%C3%A9_Derain,https://i.ibb.co/BKGKzBg/image.jpg,https://i.ibb.co/3rq1wjS/image.png,https://i.ibb.co/rHQ47DX/image.gif,18,
Lin Fengmian,Chrysanthemums,1991,Male,Chinese,Expressionism,flower painting,,17049498,https://www.wikiart.org/en/lin-fengmian/chrysanthum-1988,4,https://i.ibb.co/smGGHzs/image.jpg,"Lin Fengmian , originally Lin Fengming , was a Chinese painter and is considered a pioneer of modern Chinese painting for blending Chinese and Western styles, he was one of the earliest Chinese painters to study in Europe. He was also an important innovator in the area of Chinese art education.",https://en.wikipedia.org/wiki/Lin_Fengmian,https://i.ibb.co/cKWg0p9/image.jpg,https://i.ibb.co/jMsC2BP/image.png,https://i.ibb.co/y6vZjCJ/image.gif,19,
Anders Zorn,Against The Current,1920,Male,Swedish,Realism,nude painting (nu),"etching, paper",700,https://www.wikiart.org/en/anders-zorn/against-the-current-1919,6,https://i.ibb.co/Hrzcc8J/image.jpg,"Anders Leonard Zorn  was a Swedish painter. He attained international success as a painter, sculptor, and etcher.",https://en.wikipedia.org/wiki/Anders_Zorn,https://i.ibb.co/TkYbT7G/image.jpg,https://i.ibb.co/G7xSNWT/image.png,https://i.ibb.co/3FQYhBw/image.gif,20,
George Grosz,Germany a Winter's Tale,1959,Male,German,,,,13562243,https://www.wikiart.org/en/george-grosz/germany-a-winters-tale-1919,4,https://i.ibb.co/023gmsN/image.jpg,George Grosz  was a German artist known especially for his caricatural drawings and paintings of Berlin life in the 1920s. He was a prominent member of the Berlin Dada and New Objectivity groups during the Weimar Republic.,https://en.wikipedia.org/wiki/George_Grosz,https://i.ibb.co/ydwTMcH/image.jpg,https://i.ibb.co/6N5k9QJ/image.png,https://i.ibb.co/nbsh15r/image.gif,21,
Lois Mailou Jones,Jardin Du Luxembourg,1998,Female,American,Impressionism,cityscape,,0,https://www.wikiart.org/en/lois-mailou-jones/jardin-du-luxembourg-1948,6,https://i.ibb.co/n0P8K1W/image.jpg,"Lois Mailou Jones  was an artist and educator. Her work can be found in the collections of the Smithsonian American Art Museum, The Metropolitan Museum of Art, the National Museum of Women in the Arts, the Brooklyn Museum, the Museum of Fine Arts, Boston, Muscarelle Museum of Art, and The Phillips Collection.",https://en.wikipedia.org/wiki/Lois_Mailou_Jones,https://i.ibb.co/3chVLdJ/image.jpg,https://i.ibb.co/FsmCZ8m/image.png,https://i.ibb.co/vjt8JzK/image.gif,22,
Berthe Morisot,Young Girl with a Fan,1895,Female,French,Impressionism,genre painting,"oil, canvas",8638667,https://www.wikiart.org/en/berthe-morisot/young-girl-with-a-fan-1893,4,https://i.ibb.co/JpWPrQy/image.jpg,"Berthe Marie Pauline Morisot  was a French painter and a member of the circle of painters in Paris who became known as the Impressionists. 
In 1864, Morisot exhibited for the first time in the highly esteemed Salon de Paris.",https://en.wikipedia.org/wiki/Berthe_Morisot,https://i.ibb.co/RQNqzbg/image.jpg,https://i.ibb.co/txZs82v/image.png,https://i.ibb.co/6XCmVH7/image.gif,23,
Jean-Baptiste Oudry,Lion,1755,Male,French,Rococo,animal painting,"oil, canvas",0,https://www.wikiart.org/en/jean-baptiste-oudry/lion-1752,6,https://i.ibb.co/j5TZhyV/image.jpg,"Jean-Baptiste Oudry  was a French Rococo painter, engraver, and tapestry designer.  He is particularly well known for his naturalistic pictures of animals and his hunt pieces depicting game.",https://en.wikipedia.org/wiki/Jean-Baptiste_Oudry,https://i.ibb.co/gZtY2tg/image.jpg,https://i.ibb.co/NytdFtF/image.png,https://i.ibb.co/94ybHn8/image.gif,24,
Maurice Denis,The Road to Calvary,1943,Male,French,Post-Impressionism,religious painting,"oil, canvas",2594364,https://www.wikiart.org/en/maurice-denis/the-road-to-calvary,5,https://i.ibb.co/nfpqRQ6/image.jpg,"Maurice Denis  was a French painter, decorative artist, and writer. An important figure in the transitional period between impressionism and modern art, he is associated with  Les Nabis, symbolism, and later neo-classicism.",https://en.wikipedia.org/wiki/Maurice_Denis,https://i.ibb.co/j61884f/image.jpg,https://i.ibb.co/Ytm3hP0/image.png,https://i.ibb.co/XssB5Cr/image.gif,25,
Paul Klee,Twittering Machine,1940,Male,German,Expressionism,figurative,"gouache, ink, watercolor, paper",245661927,https://www.wikiart.org/en/paul-klee/twittering-machine-1922,1,https://i.ibb.co/qjzR7Hd/image.jpg,"Paul Klee  was a Swiss-born German artist. His highly individual style was influenced by movements in art that included expressionism, cubism, and surrealism.",https://en.wikipedia.org/wiki/Paul_Klee,https://i.ibb.co/LhVq4Q7/image.jpg,https://i.ibb.co/DrGB6Nn/image.png,https://i.ibb.co/wCqGdsj/image.gif,26,
Joan Miro,The Smile of the Flamboyant Wings,1983,Male,Spanish,Surrealism,abstract,,221616027,https://www.wikiart.org/en/joan-miro/the-smile-of-the-flamboyant-wings,1,https://i.ibb.co/mCzWPNS/image.jpg,"Joan Miró i Ferrà  was a Catalan 
painter, sculptor and ceramicist born in Barcelona. A museum dedicated to his work, the Fundació Joan Miró, was established in his native city of Barcelona in 1975, and another, the Fundació Pilar i Joan Miró, was established in his adoptive city of Palma in 1981.",https://en.wikipedia.org/wiki/Joan_Mir%C3%B3,https://i.ibb.co/tYqhDCC/image.jpg,https://i.ibb.co/8zpMWBY/image.png,https://i.ibb.co/Sv7Vh14/image.gif,27,
Bradley Walker Tomlin,Untitled,1955,Male,American,Abstract Expressionism,abstract,,220000,https://www.wikiart.org/en/bradley-walker-tomlin/untitled-1952,6,https://i.ibb.co/G0nx20N/image.jpg,Bradley Walker Tomlin  belonged to the generation of New York School Abstract Expressionist artists. He participated in the famous ‘’Ninth Street Show.,https://en.wikipedia.org/wiki/Bradley_Walker_Tomlin,https://i.ibb.co/89Y49z9/image.jpg,https://i.ibb.co/QfbZTyr/image.png,https://i.ibb.co/KxrGPgC/image.gif,28,
Leon Bakst,Portrait of Alexandre Benois,1924,Male,Russian,Art Nouveau (Modern),portrait,,0,https://www.wikiart.org/en/leon-bakst/portrait-of-alexandre-benois-1898-1,6,https://i.ibb.co/GvTFmcy/image.jpg,"Léon Bakst  – born as Leyb-Khaim Izrailevich  Rosenberg, Лейб-Хаим Израилевич  Розенберг  was a Russian painter and scene and costume designer of Jewish origin. He was a member of the Sergei Diaghilev circle and the Ballets Russes, for which he designed exotic, richly coloured sets and costumes.",https://en.wikipedia.org/wiki/L%C3%A9on_Bakst,https://i.ibb.co/F0mXnzk/image.jpg,https://i.ibb.co/ts9WwcP/image.png,https://i.ibb.co/8bqwwhF/image.gif,29,
Chaim Soutine,Portrait of Emile Lejeune,1943,Male,Jewish,Expressionism,portrait,"oil, canvas",37177539,https://www.wikiart.org/en/chaim-soutine/portrait-of-emile-lejeune-1925,3,https://i.ibb.co/W5FDshg/image.jpg,"Chaïm Soutine  was a Belarusian painter who made a major contribution to the expressionist movement while living and working in Paris.Inspired by classic painting in the European tradition, exemplified by the works of Rembrandt, Chardin and Courbet, Soutine developed an individual style more concerned with shape, color, and texture than representation, which served as a bridge between more traditional approaches and the developing form of Abstract Expressionism.",https://en.wikipedia.org/wiki/Cha%C3%AFm_Soutine,https://i.ibb.co/r4Wtx2n/image.jpg,https://i.ibb.co/YXzHYQf/image.png,https://i.ibb.co/qDFDvyw/image.gif,30,
Otto Dix,Mother and Eva,1969,Male,German,Verism,portrait,,2510238,https://www.wikiart.org/en/otto-dix/mother-and-eva,5,https://i.ibb.co/dcYhDZ4/image.jpg,"Wilhelm Heinrich Otto Dix  was a German painter and printmaker, noted for his ruthless and harshly realistic depictions of German society during the Weimar Republic and the brutality of war. Along with George Grosz and Max Beckmann, he is widely considered one of the most important artists of the Neue Sachlichkeit.",https://en.wikipedia.org/wiki/Otto_Dix,https://i.ibb.co/R7s7NLp/image.jpg,https://i.ibb.co/XZtqZz9/image.png,https://i.ibb.co/4J6zhwX/image.gif,31,
George Bellows,The Big Dory,1925,Male,American,American Realism,genre painting,,44000,https://www.wikiart.org/en/george-bellows/the-big-dory-1913,6,https://i.ibb.co/ctF8dpj/image.jpg,"George Wesley Bellows  was an American realist painter, known for his bold depictions of urban life in New York City. He became, according to the Columbus Museum of Art, ""the most acclaimed American artist of his generation"".",https://en.wikipedia.org/wiki/George_Bellows,https://i.ibb.co/Wg6sxMc/image.jpg,https://i.ibb.co/SKr9zQ4/image.png,https://i.ibb.co/HCd9wCh/image.gif,32,
